"Qty";"Value";"Device";"Package";"Parts";"Description";"LINK";"MPN";"PARTN";"PROD_ID";"SF_ID";"VALUE";
"2";"";"CONN_02";"1X02";"J1, J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"1";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";"";"150060GS75000";"";"";"";
"1";"";"MICROBUILDER_MCP73831/2";"MICROBUILDER_SOT23-5";"BAT_CHAR";"MCP73831/2 LIPO Charger";"https://uy.mouser.com/ProductDetail/Microchip-Technology/MCP73831T-2ACI-OT?qs=sGAEpiMZZMtLck3p7ZBovc%252BIEf4wKPGR";" MCP73831T-2ACI/OT";"";"";"";"";
"1";"";"MICROBUILDER_USB_MICRO_20329_V2";"MICROBUILDER_4UCONN_20329_V2";"MICRO-USB";"USB Connectors";"https://www.digikey.com/product-detail/en/amphenol-icc-fci/10103592-0001LF/609-4048-1-ND/2350355";"10103592-0001LF ";"";"";"";"";
"2";"";"PINHD-1X6";"1X06";"JP1, JP2";"PIN HEADER";"";"";"";"";"";"";
"1";"";"QRE1113SMD-W";"QRE1113-W";"SENSOR";"QRE1113 Reflective Object Sensor";"https://uy.mouser.com/ProductDetail/ON-Semiconductor-Fairchild/QRE1113GR?qs=sGAEpiMZZMt82OzCyDsLFF3rmybX%252BxhMzW1DivtsctQ%3D";"QRE1113GR";"";"IC-09357";"COM-09542";"";
"2";"0.01uf";"C-USC0402";"C0402";"C2, C4";"CAPACITOR, American symbol";"";"";"CL05C100JB5NNNC";"";"";"";
"3";"100k";"R-US_R0402";"R0402";"R1, R11, R13";"RESISTOR, American symbol";"";"RC0402JR-07100KL";"";"";"";"";
"1";"10k";"R-US_R0402";"R0402";"R6";"RESISTOR, American symbol";"https://www.seeedstudio.com/opl.html";"RC0402JR-0710KL";"";"";"";"";
"3";"10uf";"C-USC0402";"C0402";"C1, C3, C10";"CAPACITOR, American symbol";"";"";"GRM155R60G106ME44D";"";"";"";
"2";"180";"R-US_R0402";"R0402";"R8, R9";"RESISTOR, American symbol";"https://www.seeedstudio.com/opl.html";"RC0402FR-07180RL";"";"";"";"";
"2";"1uf";"C-USC0402";"C0402";"C5, C6";"CAPACITOR, American symbol";"";"";"CL05A105KP5NNNC";"";"";"";
"1";"200";"R-US_R0402";"R0402";"R7";"RESISTOR, American symbol";"";"0402WGF2000TCE";"";"";"";"";
"2";"22";"R-US_R0402";"R0402";"R2, R3";"RESISTOR, American symbol";"https://www.seeedstudio.com/opl.html";"BLM15BB220SN1D";"";"";"";"";
"1";"2k";"R-US_R0402";"R0402";"R5";"RESISTOR, American symbol";"";"RC0402FR-072KL";"";"";"";"";
"1";"455-1750-1-ND";"CONN_03";"1X03";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"XXX-00000";"";"455-1750-1-ND";
"1";"680";"R-US_R0402";"R0402";"R4";"RESISTOR, American symbol";"https://www.seeedstudio.com/opl.html";"RC0402JR-07680RL";"";"";"";"";
"1";"BLUE";"LED-BLUE0603";"LED-0603";"D1";"Blue SMD LED";"";"150060YS75000";"";"DIO-08575";"";"BLUE";
"1";"DMG2305";"MOSFET-P";"SOT23-R";"Q3";"P-Channel Mosfet";"";"DMG2305UXQ-7";"";"";"";"";
"1";"DRV8835";"DRV883X";"WSON-12";"DRV8835";"DRV8835 2 Channel Motor Driver";"https://uy.mouser.com/ProductDetail/Texas-Instruments/DRV8835DSSR?qs=sGAEpiMZZMsLzCkzIJTB61U4TTU%252BM%252BAY";"DRV8835DSSR";"";"IC-13342";"";"DRV8835";
"1";"HOLYIOT";"HOLYIOT";"HOLYIOT";"NRF52";"";"";"113990556";"";"";"";"";
"1";"MBR120";"DIODE-SCHOTTKYSOD-123";"SOD-123";"D6";"";"";"MBR120VLSFT3G";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D3";"Red SMD LED";"";"150060YS75000";"";"DIO-00819";"";"RED";
"1";"TC2050-IDC-NL";"TC2050-IDC-NL";"TC2050-IDC-NL";"TC2";"Tag-Connect In Circuit Programming & Debug Cable 10 Pin";"";"";"";"";"";"";
"1";"TLV703";"TLV703";"SOT95P285X120-5N";"REG";"";"https://uy.mouser.com/ProductDetail/Texas-Instruments/TLV7031DBVR?qs=sGAEpiMZZMutXGli8Ay4kO1LHQwdKe7AZqBYpoPj%2FWg%3D";"TLV7031DBVR";"";"";"";"";
